FOE_top_level	FOE_cd	E461	FOE_name
1	10000	10000	Natural and Physical Sciences
2	20000	20000	Information Technology
3	30000	30000	Engineering and Related Technologies
4	40000	40000	Architecture and Building
5	50000	50000	Agriculture, Environmental and Related Studies
6	60000	60000	Health
7	70000	70000	Education
8	80000	80000	Management and Commerce
9	90000	90000	Society and Culture
10	100000	100000	Creative Arts
11	110000	110000	Food, Hospitality and Personal Services
12	120000	120000	Mixed Field Programs
