E348,Language_home_group
1000,N_Europe
1201,English
2000,S_Europe
3000,E_Europe
4000,SW_Ctr_Asia
5000,S_Asia
6000,SE_Asia
7000,E_Asia
8000,Aboriginal
9000,Other
9998,Non-English
9999,
