U490	Student_status_abbrev
1	Commonwealth Supported student
2	Full-fee student (Fee-HELP)
3	Full-fee student (not Fee-HELP)
4	Full-fee summer school/winter school
8	Other Domestic (ie. AMC Special courses, RTS, WEI)
9	Overseas student
