E346	Country_of_birth	Region_name
2102	United Kingdom	NORTH-WEST EUROPE
2103	Isle of Man	NORTH-WEST EUROPE
2104	Northern Ireland	NORTH-WEST EUROPE
2105	United Kingdom	NORTH-WEST EUROPE
2106	United Kingdom	NORTH-WEST EUROPE
2107	Guernsey	NORTH-WEST EUROPE
2108	Jersey	NORTH-WEST EUROPE
2200	Ireland	NORTH-WEST EUROPE
2201	Ireland	NORTH-WEST EUROPE
2300	Western Europe	NORTH-WEST EUROPE
2301	Austria	NORTH-WEST EUROPE
2302	Belgium	NORTH-WEST EUROPE
2303	France	NORTH-WEST EUROPE
2304	Germany	NORTH-WEST EUROPE
2305	Liechtenstein	NORTH-WEST EUROPE
2306	Luxembourg	NORTH-WEST EUROPE
2307	Monaco	NORTH-WEST EUROPE
2308	Netherlands	NORTH-WEST EUROPE
2311	Switzerland	NORTH-WEST EUROPE
2400	Northern Europe	NORTH-WEST EUROPE
2401	Denmark	NORTH-WEST EUROPE
2402	Faroe Islands	NORTH-WEST EUROPE
2403	Finland	NORTH-WEST EUROPE
2404	Greenland	NORTH-WEST EUROPE
2405	Iceland	NORTH-WEST EUROPE
2406	Norway	NORTH-WEST EUROPE
2407	Sweden	NORTH-WEST EUROPE
2408	Aland Islands	NORTH-WEST EUROPE
3000	SOUTHERN AND EASTERN EUROPE	SOUTHERN AND EASTERN EUROPE
3100	Southern Europe	SOUTHERN AND EASTERN EUROPE
3101	Andorra	SOUTHERN AND EASTERN EUROPE
3102	Gibraltar	SOUTHERN AND EASTERN EUROPE
3103	Holy See	SOUTHERN AND EASTERN EUROPE
3104	Italy	SOUTHERN AND EASTERN EUROPE
3105	Malta	SOUTHERN AND EASTERN EUROPE
3106	Portugal	SOUTHERN AND EASTERN EUROPE
3107	San Marino	SOUTHERN AND EASTERN EUROPE
3108	Spain	SOUTHERN AND EASTERN EUROPE
3200	South Eastern Europe	SOUTHERN AND EASTERN EUROPE
3201	Albania	SOUTHERN AND EASTERN EUROPE
3202	Bosnia and Herzegovina	SOUTHERN AND EASTERN EUROPE
3203	Bulgaria	SOUTHERN AND EASTERN EUROPE
3204	Croatia	SOUTHERN AND EASTERN EUROPE
3205	Cyprus	SOUTHERN AND EASTERN EUROPE
3206	The former Yugoslav Republic of Macedonia	SOUTHERN AND EASTERN EUROPE
3207	Greece	SOUTHERN AND EASTERN EUROPE
3208	Moldova	SOUTHERN AND EASTERN EUROPE
3211	Romania	SOUTHERN AND EASTERN EUROPE
3212	Slovenia	SOUTHERN AND EASTERN EUROPE
3213	Serbia and Montenegro	SOUTHERN AND EASTERN EUROPE
3214	Montenegro	SOUTHERN AND EASTERN EUROPE
3215	Serbia	SOUTHERN AND EASTERN EUROPE
3216	Kosovo	SOUTHERN AND EASTERN EUROPE
3300	Eastern Europe	SOUTHERN AND EASTERN EUROPE
3301	Belarus	SOUTHERN AND EASTERN EUROPE
3302	Czech Republic	SOUTHERN AND EASTERN EUROPE
3303	Estonia	SOUTHERN AND EASTERN EUROPE
3304	Hungary	SOUTHERN AND EASTERN EUROPE
3305	Latvia	SOUTHERN AND EASTERN EUROPE
3306	Lithuania	SOUTHERN AND EASTERN EUROPE
3307	Poland	SOUTHERN AND EASTERN EUROPE
3308	Russian Federation	SOUTHERN AND EASTERN EUROPE
3311	Slovakia	SOUTHERN AND EASTERN EUROPE
3312	Ukraine	SOUTHERN AND EASTERN EUROPE
4000	NORTH AFRICA AND THE MIDDLE EAST	NORTH AFRICA AND THE MIDDLE EAST
4100	North Africa	NORTH AFRICA AND THE MIDDLE EAST
4101	Algeria	NORTH AFRICA AND THE MIDDLE EAST
4102	Egypt	NORTH AFRICA AND THE MIDDLE EAST
4103	Libya	NORTH AFRICA AND THE MIDDLE EAST
4104	Morocco	NORTH AFRICA AND THE MIDDLE EAST
4105	Sudan	NORTH AFRICA AND THE MIDDLE EAST
4106	Tunisia	NORTH AFRICA AND THE MIDDLE EAST
4107	Western Sahara	NORTH AFRICA AND THE MIDDLE EAST
4108	Spanish North Africa	NORTH AFRICA AND THE MIDDLE EAST
4111	South Sudan	NORTH AFRICA AND THE MIDDLE EAST
4199	Spanish North Africa	
4200	Middle East	NORTH AFRICA AND THE MIDDLE EAST
4201	Bahrain	NORTH AFRICA AND THE MIDDLE EAST
4202	Gaza Strip and West Bank	NORTH AFRICA AND THE MIDDLE EAST
4203	Iran	NORTH AFRICA AND THE MIDDLE EAST
4204	Iraq	NORTH AFRICA AND THE MIDDLE EAST
4205	Israel	NORTH AFRICA AND THE MIDDLE EAST
4206	Jordan	NORTH AFRICA AND THE MIDDLE EAST
4207	Kuwait	NORTH AFRICA AND THE MIDDLE EAST
4208	Lebanon	NORTH AFRICA AND THE MIDDLE EAST
4211	Oman	NORTH AFRICA AND THE MIDDLE EAST
4212	Qatar	NORTH AFRICA AND THE MIDDLE EAST
4213	Saudi Arabia	NORTH AFRICA AND THE MIDDLE EAST
4214	Syria	NORTH AFRICA AND THE MIDDLE EAST
4215	Turkey	NORTH AFRICA AND THE MIDDLE EAST
4216	United Arab Emirates	NORTH AFRICA AND THE MIDDLE EAST
4217	Yemen	NORTH AFRICA AND THE MIDDLE EAST
5000	SOUTH-EAST ASIA	SOUTH-EAST ASIA
5100	Mainland South-East Asia	SOUTH-EAST ASIA
5101	Myanmar	SOUTH-EAST ASIA
5102	Cambodia	SOUTH-EAST ASIA
5103	Laos	SOUTH-EAST ASIA
5104	Thailand	SOUTH-EAST ASIA
5105	Vietnam	SOUTH-EAST ASIA
5200	Maritime South-East Asia	SOUTH-EAST ASIA
5201	Brunei Darussalam	SOUTH-EAST ASIA
5202	Indonesia	SOUTH-EAST ASIA
5203	Malaysia	SOUTH-EAST ASIA
5204	Philippines	SOUTH-EAST ASIA
5205	Singapore	SOUTH-EAST ASIA
5206	Timor-Leste	SOUTH-EAST ASIA
6000	NORTH-EAST ASIA	NORTH-EAST ASIA
6100	Chinese Asia	NORTH-EAST ASIA
6101	China	NORTH-EAST ASIA
6102	Hong Kong	NORTH-EAST ASIA
6103	Macau	NORTH-EAST ASIA
6104	Mongolia	NORTH-EAST ASIA
6105	Taiwan	NORTH-EAST ASIA
6200	Japan and the Koreas	NORTH-EAST ASIA
6201	Japan	NORTH-EAST ASIA
6202	Korea	NORTH-EAST ASIA
6203	Korea	NORTH-EAST ASIA
7000	SOUTHERN AND CENTRAL ASIA	SOUTHERN AND CENTRAL ASIA
7100	Southern Asia	SOUTHERN AND CENTRAL ASIA
7101	Bangladesh	SOUTHERN AND CENTRAL ASIA
7102	Bhutan	SOUTHERN AND CENTRAL ASIA
7103	India	SOUTHERN AND CENTRAL ASIA
7104	Maldives	SOUTHERN AND CENTRAL ASIA
7105	Nepal	SOUTHERN AND CENTRAL ASIA
7106	Pakistan	SOUTHERN AND CENTRAL ASIA
7107	Sri Lanka	SOUTHERN AND CENTRAL ASIA
7200	Central Asia	SOUTHERN AND CENTRAL ASIA
7201	Afghanistan	SOUTHERN AND CENTRAL ASIA
7202	Armenia	SOUTHERN AND CENTRAL ASIA
7203	Azerbaijan	SOUTHERN AND CENTRAL ASIA
7204	Georgia	SOUTHERN AND CENTRAL ASIA
7205	Kazakhstan	SOUTHERN AND CENTRAL ASIA
7206	Kyrgyzstan	SOUTHERN AND CENTRAL ASIA
7207	Tajikistan	SOUTHERN AND CENTRAL ASIA
7208	Turkmenistan	SOUTHERN AND CENTRAL ASIA
7211	Uzbekistan	SOUTHERN AND CENTRAL ASIA
8000	AMERICAS	AMERICAS
8100	Northern America	AMERICAS
8101	Bermuda	AMERICAS
8102	Canada	AMERICAS
8103	St Pierre and Miquelon	AMERICAS
8104	United States of America	AMERICAS
8200	South America	AMERICAS
8201	Argentina	AMERICAS
8202	Bolivia	AMERICAS
8203	Brazil	AMERICAS
8204	Chile	AMERICAS
8205	Colombia	AMERICAS
8206	Ecuador	AMERICAS
8207	Falkland Islands	AMERICAS
8208	French Guiana	AMERICAS
8211	Guyana	AMERICAS
8212	Paraguay	AMERICAS
8213	Peru	AMERICAS
8214	Suriname	AMERICAS
8215	Uruguay	AMERICAS
8216	Venezuela	AMERICAS
8299	South America	AMERICAS
8300	Central America	AMERICAS
8301	Belize	AMERICAS
8302	Costa Rica	AMERICAS
8303	El Salvador	AMERICAS
8304	Guatemala	AMERICAS
8305	Honduras	AMERICAS
8306	Mexico	AMERICAS
8307	Nicaragua	AMERICAS
8308	Panama	AMERICAS
8400	Caribbean	AMERICAS
8401	Anguilla	AMERICAS
8402	Antigua and Barbuda	AMERICAS
8403	Aruba	AMERICAS
8404	Bahamas	AMERICAS
8405	Barbados	AMERICAS
8406	Cayman Islands	AMERICAS
8407	Cuba	AMERICAS
8408	Dominica	AMERICAS
8411	Dominican Republic	AMERICAS
8412	Grenada	AMERICAS
8413	Guadeloupe	AMERICAS
8414	Haiti	AMERICAS
8415	Jamaica	AMERICAS
8416	Martinique	AMERICAS
8417	Montserrat	AMERICAS
8418	Netherlands Antilles	
8421	Puerto Rico	AMERICAS
8422	St Kitts and Nevis	AMERICAS
8423	St Lucia	AMERICAS
8424	St Vincent and the Grenadines	AMERICAS
8425	Trinidad and Tobago	AMERICAS
8426	Turks and Caicos Islands	AMERICAS
8427	Virgin Islands	AMERICAS
8428	Virgin Islands	AMERICAS
8431	St Barthelemy	AMERICAS
8432	St Martin	AMERICAS
8433	Bonaire	AMERICAS
8434	Curacao	AMERICAS
8435	Sint Maarten	AMERICAS
9000	SUB-SAHARAN AFRICA	SUB-SAHARAN AFRICA
9100	Central and West Africa	SUB-SAHARAN AFRICA
9101	Benin	SUB-SAHARAN AFRICA
9102	Burkina Faso	SUB-SAHARAN AFRICA
9103	Cameroon	SUB-SAHARAN AFRICA
9104	Cabo Verde	SUB-SAHARAN AFRICA
9105	Central African Republic	SUB-SAHARAN AFRICA
9106	Chad	SUB-SAHARAN AFRICA
9107	Congo	SUB-SAHARAN AFRICA
9108	Congo	SUB-SAHARAN AFRICA
9111	Cote d'Ivoire	SUB-SAHARAN AFRICA
9112	Equatorial Guinea	SUB-SAHARAN AFRICA
9113	Gabon	SUB-SAHARAN AFRICA
9114	Gambia	SUB-SAHARAN AFRICA
9115	Ghana	SUB-SAHARAN AFRICA
9116	Guinea	SUB-SAHARAN AFRICA
9117	Guinea-Bissau	SUB-SAHARAN AFRICA
9118	Liberia	SUB-SAHARAN AFRICA
9121	Mali	SUB-SAHARAN AFRICA
9122	Mauritania	SUB-SAHARAN AFRICA
9123	Niger	SUB-SAHARAN AFRICA
9124	Nigeria	SUB-SAHARAN AFRICA
9125	Sao Tome and Principe	SUB-SAHARAN AFRICA
9126	Senegal	SUB-SAHARAN AFRICA
9127	Sierra Leone	SUB-SAHARAN AFRICA
9128	Togo	SUB-SAHARAN AFRICA
9200	Southern and East Africa	SUB-SAHARAN AFRICA
9201	Angola	SUB-SAHARAN AFRICA
9202	Botswana	SUB-SAHARAN AFRICA
9203	Burundi	SUB-SAHARAN AFRICA
9204	Comoros	SUB-SAHARAN AFRICA
9205	Djibouti	SUB-SAHARAN AFRICA
9206	Eritrea	SUB-SAHARAN AFRICA
9207	Ethiopia	SUB-SAHARAN AFRICA
9208	Kenya	SUB-SAHARAN AFRICA
9211	Lesotho	SUB-SAHARAN AFRICA
9212	Madagascar	SUB-SAHARAN AFRICA
9213	Malawi	SUB-SAHARAN AFRICA
9214	Mauritius	SUB-SAHARAN AFRICA
9215	Mayotte	SUB-SAHARAN AFRICA
9216	Mozambique	SUB-SAHARAN AFRICA
9217	Namibia	SUB-SAHARAN AFRICA
9218	Reunion	SUB-SAHARAN AFRICA
9221	Rwanda	SUB-SAHARAN AFRICA
9222	St Helena	SUB-SAHARAN AFRICA
9223	Seychelles	SUB-SAHARAN AFRICA
9224	Somalia	SUB-SAHARAN AFRICA
9225	South Africa	SUB-SAHARAN AFRICA
9226	Swaziland	SUB-SAHARAN AFRICA
9227	Tanzania	SUB-SAHARAN AFRICA
9228	Uganda	SUB-SAHARAN AFRICA
9231	Zambia	SUB-SAHARAN AFRICA
9232	Zimbabwe	SUB-SAHARAN AFRICA
9299	Southern and East Africa	SUB-SAHARAN AFRICA
9998		
9999		
