E346	Country_of_birth	Region_name
913	Yugoslavia	SOUTHERN AND EASTERN EUROPE
918	Africa nec	SUB-SAHARAN AFRICA
1000	OCEANIA AND ANTARCTICA	OCEANIA AND ANTARCTICA
1100	Australia	OCEANIA AND ANTARCTICA
1101	Australia	OCEANIA AND ANTARCTICA
1102	Norfolk Island	OCEANIA AND ANTARCTICA
1199	Australian External Territories	OCEANIA AND ANTARCTICA
1200	New Zealand	OCEANIA AND ANTARCTICA
1201	New Zealand	OCEANIA AND ANTARCTICA
1300	Melanesia	OCEANIA AND ANTARCTICA
1301	New Caledonia	OCEANIA AND ANTARCTICA
1302	Papua New Guinea	OCEANIA AND ANTARCTICA
1303	Solomon Islands	OCEANIA AND ANTARCTICA
1304	Vanuatu	OCEANIA AND ANTARCTICA
1400	Micronesia	OCEANIA AND ANTARCTICA
1401	Guam	OCEANIA AND ANTARCTICA
1402	Kiribati	OCEANIA AND ANTARCTICA
1403	Marshall Islands	OCEANIA AND ANTARCTICA
1404	Micronesia	OCEANIA AND ANTARCTICA
1405	Nauru	OCEANIA AND ANTARCTICA
1406	Northern Mariana Islands	OCEANIA AND ANTARCTICA
1407	Palau	OCEANIA AND ANTARCTICA
1500	Polynesia	OCEANIA AND ANTARCTICA
1501	Cook Islands	OCEANIA AND ANTARCTICA
1502	Fiji	OCEANIA AND ANTARCTICA
1503	French Polynesia	OCEANIA AND ANTARCTICA
1504	Niue	OCEANIA AND ANTARCTICA
1505	Samoa	OCEANIA AND ANTARCTICA
1506	Samoa	OCEANIA AND ANTARCTICA
1507	Tokelau	OCEANIA AND ANTARCTICA
1508	Tonga	OCEANIA AND ANTARCTICA
1511	Tuvalu	OCEANIA AND ANTARCTICA
1512	Wallis and Futuna	OCEANIA AND ANTARCTICA
1513	Pitcairn Islands	OCEANIA AND ANTARCTICA
1599	Polynesia	OCEANIA AND ANTARCTICA
1600	Antarctica	OCEANIA AND ANTARCTICA
1601	Adelie Land	OCEANIA AND ANTARCTICA
1602	Argentinian Antarctic Territory	OCEANIA AND ANTARCTICA
1603	Australian Antarctic Territory	OCEANIA AND ANTARCTICA
1604	British Antarctic Territory	OCEANIA AND ANTARCTICA
1605	Chilean Antarctic Territory	OCEANIA AND ANTARCTICA
1606	Queen Maud Land	OCEANIA AND ANTARCTICA
1607	Ross Dependency	OCEANIA AND ANTARCTICA
2000	NORTH-WEST EUROPE	NORTH-WEST EUROPE
2100	United Kingdom	NORTH-WEST EUROPE
2101	United Kingdom	
