Variable,First_level
Country_of_birth,Australia
State_permanent_home,NSW
Language_home_group,English
New_admission_basis,Secondary education
Mode_of_attendance,Internal
Attendance_type,Full-time
Gender,F
CitizenResidentInd,Aust
