foecode,foecode_actual,foename,foegrattan
10000,1,NATURAL AND PHYSICAL SCIENCES,Science
10100,101,Mathematical Sciences,Science
10101,10101,Mathematics,Science
10103,10103,Statistics,Science
10199,10199,"Mathematical Sciences, n.e.c.",Science
10300,103,Physics and Astronomy,Science
10301,10301,Physics,Science
10303,10303,Astronomy,Science
10500,105,Chemical Sciences,Science
10501,10501,Organic Chemistry,Science
10503,10503,Inorganic Chemistry,Science
10599,10599,"Chemical Sciences, n.e.c.",Science
10700,107,Earth Sciences,Science
10701,10701,Atmospheric Sciences,Science
10703,10703,Geology,Science
10705,10705,Geophysics,Science
10707,10707,Geochemistry,Science
10709,10709,Soil Science,Science
10711,10711,Hydrology,Science
10713,10713,Oceanography,Science
10799,10799,"Earth Sciences, n.e.c.",Science
10900,109,Biological Sciences,Science
10901,10901,Biochemistry and Cell Biology,Science
10903,10903,Botany,Science
10905,10905,Ecology and Evolution,Science
10907,10907,Marine Science,Science
10909,10909,Genetics,Science
10911,10911,Microbiology,Science
10913,10913,Human Biology,Science
10915,10915,Zoology,Science
10999,10999,"Biological Sciences, n.e.c.",Science
19900,199,Other Natural and Physical Sciences,Science
19901,19901,Medical Science,Science
19903,19903,Forensic Science,Science
19905,19905,Food Science and Biotechnology,Science
19907,19907,Pharmacology,Science
19909,19909,Laboratory Technology,Science
19999,19999,"Natural and Physical Sciences, n.e.c.",Science
20000,2,INFORMATION TECHNOLOGY,Information technology
20100,201,Computer Science,Information technology
20101,20101,Formal Language Theory,Information technology
20103,20103,Programming,Information technology
20105,20105,Computational Theory,Information technology
20107,20107,Compiler Construction,Information technology
20109,20109,Algorithms,Information technology
20111,20111,Data Structures,Information technology
20113,20113,Networks and Communications,Information technology
20115,20115,Computer Graphics,Information technology
20117,20117,Operating Systems,Information technology
20119,20119,Artificial Intelligence,Information technology
20199,20199,"Computer Science, n.e.c.",Information technology
20300,203,Information Systems,Information technology
20301,20301,Conceptual Modelling,Information technology
20303,20303,Database Management,Information technology
20305,20305,Systems Analysis and Design,Information technology
20307,20307,Decision Support Systems,Information technology
20399,20399,"Information Systems, n.e.c.",Information technology
29900,299,Other Information Technology,Information technology
29901,29901,Security Science,Information technology
29999,29999,"Information Technology, n.e.c.",Information technology
30000,3,ENGINEERING AND RELATED TECHNOLOGIES,Engineering
30100,301,Manufacturing Engineering and Technology,Engineering
30101,30101,Manufacturing Engineering,Engineering
30103,30103,Printing,Engineering
30105,30105,Textile Making,Engineering
30107,30107,Garment Making,Engineering
30109,30109,Footwear Making,Engineering
30111,30111,Wood Machining and Turning,Engineering
30113,30113,Cabinet Making,Engineering
30115,30115,Furniture Upholstery and Renovation,Engineering
30117,30117,Furniture Polishing,Engineering
30199,30199,"Manufacturing Engineering and Technology, n.e.c.",Engineering
30300,303,Process and Resources Engineering,Engineering
30301,30301,Chemical Engineering,Engineering
30303,30303,Mining Engineering,Engineering
30305,30305,Materials Engineering,Engineering
30307,30307,Food Processing Technology,Engineering
30399,30399,"Process and Resources Engineering, n.e.c.",Engineering
30500,305,Automotive Engineering and Technology,Engineering
30501,30501,Automotive Engineering,Engineering
30503,30503,Vehicle Mechanics,Engineering
30505,30505,Automotive Electrics and Electronics,Engineering
30507,30507,Automotive Vehicle Refinishing,Engineering
30509,30509,Automotive Body Construction,Engineering
30511,30511,Panel Beating,Engineering
30513,30513,Upholstery and Vehicle Trimming,Engineering
30515,30515,Automotive Vehicle Operations,Engineering
30599,30599,"Automotive Engineering and Technology, n.e.c.",Engineering
30700,307,Mechanical and Industrial Engineering and Technology,Engineering
30701,30701,Mechanical Engineering,Engineering
30703,30703,Industrial Engineering,Engineering
30705,30705,Toolmaking,Engineering
30707,30707,"Metal Fitting, Turning and Machining",Engineering
